nume_actiune, timestamp_actiune, nume_thread
adaugareCandidat,2020-06-01 at 18:20:22 EEST,Main
adaugareCandidat,2020-06-01 at 18:20:22 EEST,Main
adaugareCandidat,2020-06-01 at 18:20:22 EEST,Main
deleteCandidat,2020-06-01 at 18:20:22 EEST,Main
schimbareNumeCandidat,2020-06-01 at 18:20:22 EEST,Main
getAllCandidati,2020-06-01 at 18:20:22 EEST,Main
adaugareRepartizareSali,2020-06-01 at 18:20:22 EEST,Main
adaugareRepartizareSali,2020-06-01 at 18:20:22 EEST,Main
adaugareRepartizareSali,2020-06-01 at 18:20:22 EEST,Main
getAllRepartizariSali,2020-06-01 at 18:20:22 EEST,Main
adaugareExamen,2020-06-01 at 18:20:22 EEST,Main
adaugareExamen,2020-06-01 at 18:20:22 EEST,Main
adaugareExamen,2020-06-01 at 18:20:22 EEST,Main
getAllExamene,2020-06-01 at 18:20:22 EEST,Main
adaugareInformatiiAdmitere,2020-06-01 at 18:20:22 EEST,Main
adaugareInformatiiAdmitere,2020-06-01 at 18:20:22 EEST,Main
adaugareInformatiiAdmitere,2020-06-01 at 18:20:22 EEST,Main
getAllInformatiiAdmiteri,2020-06-01 at 18:20:22 EEST,Main
